Publish Date,Organization,Source Country,Product Name,Manufacturer (as displayed),Distributor,Reason,More Info,URL
2024-04-10,U.S. Food and Drug Administration (FDA),United States,Cyclophosphamide,,,"Labeling: Incorrect or missing Package Insert: There is an error on the Package Insert (PI), section 2.3, Preparation, Handling, and Administration. The concentration of the reconstituted product is listed as '20 mg per vial.' This information should read: '20 mg per mL'.","Cyclophosphamide for Injection, USP, 500mg/vial, Lyophilized, Cytotoxic Agent, Single Dose Vial for Intravenous Use, Rx Only, Manufactured for: XGen Pharmaceuticals DJB, Inc. Big Flats, NY 14814, NDC # 39822-0250-01. Lot #: CIC1-23001 A, Exp. 08/30/2026",https://api.fda.gov/drug/enforcement.json?search=event_id:94348
2024-03-13,U.S. Food and Drug Administration (FDA),United States,Mercaptopurine,,,Failed Dissolution Specifications: results slightly under spec at at 9-months.,"Mercaptopurine Tablets, USP 50 mg, packaged in: a) 25-count bottle (NDC 69076-913-02), b) 250-count bottle (NDC 69076-913-25), Rx only, Manufactured for: Quinn Pharmaceuticals, Boca Raton, FL, www.quinnrx.com Lot #: a)22K012, 22K013A, Exp: 04/30/2024; 23A001, 23A002A, Exp: 07/31/2024; 23D006, 23D007A, 23D007C, Exp:10/31/2024; b)22K013B, Exp: 04/30/2024; 23A002B, Exp:07/31/2024; 23D007B, Exp: 10/31/2024.",https://api.fda.gov/drug/enforcement.json?search=event_id:93960
2024-01-31,U.S. Food and Drug Administration (FDA),United States,Bleomycin,,Hospira,Presence of particulate matter: glass,"Bleomycin for Injection, USP, 15 units per vial, 1 single dose glass fliptop vial, Rx Only, Distributed by: Hospira, Inc., Lake Forest, IL 68045, NDC 61703-332-18 Lot #: BL12206A, Exp date 06/30/2024",https://api.fda.gov/drug/enforcement.json?search=event_id:93693
2024-01-03,U.S. Food and Drug Administration (FDA),United States,Prednisone,Jubilant Cadista Pharmaceuticals Inc.,,CGMP Deviations: Products were exposed to temperatures outside of the products labeled storage conditions.,"PredniSONE Tablets, USP, 20 mg, 100 Tablets per bottle, Rx Only, Manufactured by: Jubilant Cadista Pharmaceuticals Inc., Salisbury, MD 21801.  NDC: 59746-175-06 Batch 21P0659",https://api.fda.gov/drug/enforcement.json?search=event_id:89450
2024-01-03,U.S. Food and Drug Administration (FDA),United States,Propranolol,Amneal Pharmaceuticals Pvt. Ltd.,Amneal Pharmaceuticals LLC,CGMP Deviations: Products were exposed to temperatures outside of the products labeled storage conditions.,"Propranolol Hydrochloride Tablets, 20 mg, 100 Tablets per bottle, Rx only, Manufactured by: Amneal Pharmaceuticals Pvt. Ltd., Ahmedabad 382213, India; Distributed by: Amneal Pharmaceuticals LLC, Bridgewater, NJ 08807.  NDC:  69238-2078-1 Batch 100023596",https://api.fda.gov/drug/enforcement.json?search=event_id:89450
2023-12-21,Health Canada,Canada,Bleomycin,,,Product quality,Product quality. Bleomycin for Injection USP: Glass Particulate,https://recalls-rappels.canada.ca/en/alert-recall/bleomycin-injection-usp-glass-particulate
2023-12-20,U.S. Food and Drug Administration (FDA),Spain,Votrient,Siegried Barbera,Novartis Pharmaceuticals Corp.,Failed Dissolution Specifications,"Votrient (pazopanib) 200 mg tablets, 120-count bottle, Rx Only, Manufactured by: Siegried Barbera, S.L., Barbera del Valles, Spain, Distributed by: Novartis Pharmaceuticals Corp., East Hanover, N.J. 07936, NDC 0078-1077-66 Lot# ME2713; Exp. 02/2025 Lot # MF8286, ML1860; Exp. 04/2025",https://api.fda.gov/drug/enforcement.json?search=event_id:93429
2023-12-13,U.S. Food and Drug Administration (FDA),United States,Ondansetron,Baxter Pharmaceuticals India Private Ltd,,Failed pH Specifications,"Ondansetron Injection, USP, 4 mg/2 mL (2 mg/mL), 2 mL per vial, Rx only, Manufactured for: Baxter Healthcare Corporation, Deerfield, IL 60015 USA.  Manufactured by: Baxter Pharmaceuticals India Private Ltd, Ahmedabad 382213, India. NDC 36000-012-25 Lot # A0E0959A, A0E0961A, A0E1015A, A0E1020A, Exp. Date 30-Nov-23; A0F0016A, Exp. Date 31-Dec-23; A0F0260A, A0F0261A, A0F0262A, Exp. Date 29-Feb-24; A0F0414A, A0F0415A, A0F0416A, A0F0417A, A0F0418A, Exp. Date 30-Apr-24; A0F0503A, Exp. Date 31-May-24,  A0F0533A, A0F0534A, A0F0535A, A0F0536A, A0F0537A, A0F0540A, A0F0541A, Exp. Date 30-Jun-24; A0F0573A, A0F0574A, A0F0575A, A0F0592A, Exp. Date 31-Jul-24; A0F0596A, A0F0599A, Exp. Date 31-Aug-24 ; A0F0676A, 31-Oct-24.",https://api.fda.gov/drug/enforcement.json?search=event_id:93359
2023-12-06,U.S. Food and Drug Administration (FDA),United States,Vitrakvi,,,Microbial Contamination of Non-Sterile Products: microbial contamination identified as Penicillium brevicompactum observed during routine ongoing stability testing,"VITRAKVI (larotractenib) oral solution, 20mg/mL, 100 mL bottle, Rx only, Manufactured for Bayer HealthCare Pharmaceuticals Inc., Whippany, NJ 07981. NDC 50419-392-01 Lot# 2114228, EXP. 02/29/2024",https://api.fda.gov/drug/enforcement.json?search=event_id:93391
2023-11-16,Health Canada,Canada,Votrient,,,Product quality,Product quality. Votrient: The dissolution is out of specification in the affected lot,https://recalls-rappels.canada.ca/en/alert-recall/votrient-dissolution-out-specification-affected-lot
